,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
75,344.4897766,41.3417206,-3.522,3.037,4.787,427.9,51.9,-189.82,4.03,0.99
57,344.5328369,41.2856941,-1.581,-0.325,2.255,325.7,48.7,-183.52,3.96,0.98
103,344.4519653,41.2029724,-5.227,-5.288,12.796,268.6,66.9,-85.16,5.82,0.0
113,344.6027222,41.3024178,1.57,0.678,2.634,151.1,74.7,-185.73,9.16,0.99
56,344.536377,41.3207779,-1.421,1.78,2.549,190.6,52.5,-198.39,7.01,1.0
52,344.5448608,41.3070564,-1.039,0.957,1.471,400.2,59.8,-194.4,4.06,1.0
160,344.5096741,41.2155838,-2.625,-4.532,9.187,489.7,56.6,-123.68,4.11,0.0
142,344.5527954,41.3482513,-0.681,3.428,5.112,173.6,51.6,-196.03,6.86,1.0
62,344.515625,41.3298874,-2.357,2.327,3.498,382.5,61.6,-206.28,4.72,1.0
8,344.6639099,41.2164993,4.328,-4.477,6.644,521.9,57.5,-99.11,3.28,0.0
117,344.5953674,41.3415565,1.238,3.027,5.692,266.2,51.1,-219.95,4.85,0.99
168,344.4499207,41.2305565,-5.319,-3.633,10.616,666.0,72.0,-58.59,4.21,0.0
